video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=klXaDgmM8Fs&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@ajplus,AJ+,Why Israel Matters to Americans,762K,1 year,There's undoubtedly a very special relationship between Israel and the United States. Since the establishment of the State of ...,2024-01-30 08:54:49.113618
/watch?v=g7Jk9FGTvO4&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@NBCNews,NBC News,Mounting questions about future U.S. aid for Israel as fighting rages,38K,3 months,"As fighting rages and Congress is unable to act without a House speaker, there are mounting questions about future United States ...",2024-01-30 08:54:49.115329
/watch?v=JD3t_jtAAmQ&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@DemocracyNow,Democracy Now!,Chomsky: Cutting off military aid to Israel would have “major effect” on Middle East,45K,4 years,There are some very simple moves that could be made in U.S. policy that would change the situation in the Middle East ...,2024-01-30 08:54:49.117578
/watch?v=TZfVzalWuOA&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@WION,WION,Israel-Palestine war: US military aid arrives in Israel | Will US push for Israel-Saudi talks?,22K,3 months,"As the mayhem and destruction in Israel continue US Munitions have started to come in. Over the last four days, the U.S. Has ...",2024-01-30 08:54:49.119379
/watch?v=xnUqAAzn0oY&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@MiddleEastEye,Middle East Eye,Palestinian man sends a message to Israel that Palestians will never surrender,1M,3 months,"I swear to God, even if they proceed to kill us mercilessly, by God, we won't give up”. In an interview with Al-Ghad TV channel, ...",2024-01-30 08:54:49.121053
/watch?v=c_bpYabmyNE&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@HT-Videos,Hindustan Times,"Arab Nation Sends Air Force Plane To Gaza First Time Since War Began, Israel Responds | Watch",428K,2 months,"Jordan's King Abdullah II announced early Monday that his country's air force air-dropped at midnight ""urgent medical aid"" to the ...",2024-01-30 08:54:49.124042
/watch?v=CKooArXhs1k&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@CBSEveningNews,CBS Evening News,"Senate Republicans block Ukraine, Israel aid bill",158K,1 month,"A Senate bill that would provide more than $100 billion in aid, primarily to Israel and Ukraine, was blocked by Republicans, who ...",2024-01-30 08:54:49.127879
/watch?v=DecQRJlRlWQ&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@CBSMornings,CBS Mornings,"Biden pledges support for Israel, sends military ships and fighter jets to the region",13K,3 months,The Biden administration is sending military ships and fighter jets to the Middle East to support Israel after a weekend of violence.,2024-01-30 08:54:49.129394
/watch?v=GRSB0LoMy4U&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@ABCNews,ABC News,First plane load of munitions from the U.S. arrive in Israel l GMA,23K,3 months,"The first plane load of ammunition landed overnight with more to come, including replenishments for Israel's Iron Dome defenses.",2024-01-30 08:54:49.130866
/watch?v=QqHTxGSeXDA&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@markets,Bloomberg Television,House Passes $14 Billion Israel Aid Package,6.8K,2 months,"House Republicans, led by newly installed Speaker Mike Johnson, passed a $14.3 billion Israel aid package tied to cuts in IRS ...",2024-01-30 08:54:49.132322
